customer_id,market,boutique_reference,acquisition_channel,first_purchase_date,tier,lifetime_transactions,lifetime_spend_eur,omnichannel,is_active_last_6m
CUST00001,Chine,Pékin,Événement privé,2025-05-22,Client fidèle,2,61625.48,True,False
CUST00002,Moyen-Orient,Dubaï Mall,Digital / en ligne,2026-02-18,Découverte,0,0.0,False,False
CUST00003,Chine,Pékin,Boutique (walk-in),2026-04-04,Découverte,0,0.0,False,False
CUST00004,France (siège),Paris Champs-Élysées,Recommandation VIC,2025-10-07,Découverte,1,15992.91,False,True
CUST00005,Japon,Osaka,Boutique (walk-in),2025-01-26,Client fidèle,3,23272.6,True,True
CUST00006,Japon,Osaka,Recommandation VIC,2024-12-06,Client fidèle,3,33441.89,True,True
CUST00007,Chine,Hong Kong,Recommandation VIC,2024-10-27,Client fidèle,3,30276.58,False,True
CUST00008,France (siège),Paris Champs-Élysées,Événement privé,2026-01-09,Découverte,1,13709.04,False,True
CUST00009,Chine,Pékin,Boutique (walk-in),2024-12-31,Découverte,1,882.46,False,False
CUST00010,Japon,Tokyo Ginza,Digital / en ligne,2025-03-09,Client fidèle,2,20986.49,True,True
CUST00011,Chine,Hong Kong,Recommandation VIC,2024-11-13,Client fidèle,3,40293.65,True,True
CUST00012,Chine,Pékin,Recommandation VIC,2025-09-16,Découverte,2,11958.03,False,True
CUST00013,France (siège),Paris Vendôme,Digital / en ligne,2025-03-11,VIC,1,103461.83,False,False
CUST00014,Japon,Osaka,Recommandation VIC,2025-10-14,Client fidèle,1,22518.47,False,True
CUST00015,Chine,Pékin,Boutique (walk-in),2025-05-01,VIC,3,66733.04,True,True
CUST00016,Japon,Osaka,Digital / en ligne,2026-01-23,Découverte,1,920.49,False,True
CUST00017,France (siège),Paris Vendôme,Événement privé,2024-12-11,VIC,4,70313.27,True,True
CUST00018,USA,New York 5th Ave,Recommandation VIC,2024-11-16,Découverte,3,10957.33,True,True
CUST00019,France (siège),Paris Champs-Élysées,Digital / en ligne,2026-04-23,Découverte,0,0.0,False,False
CUST00020,France (siège),Cannes,Boutique (walk-in),2025-12-11,Découverte,1,4442.77,False,True
CUST00021,Chine,Hong Kong,Digital / en ligne,2026-01-05,Découverte,1,597.23,False,True
CUST00022,France (siège),Paris Vendôme,Boutique (walk-in),2025-09-05,Découverte,2,1521.6,True,True
CUST00023,Japon,Tokyo Ginza,Boutique (walk-in),2024-11-11,Client fidèle,3,44429.0,False,True
CUST00024,Moyen-Orient,Abu Dhabi,Recommandation VIC,2025-11-15,VIC,1,88447.94,False,False
CUST00025,USA,New York 5th Ave,Boutique (walk-in),2025-11-20,Client fidèle,2,46916.38,True,True
CUST00026,Chine,Hong Kong,Boutique (walk-in),2026-04-18,Découverte,0,0.0,False,False
CUST00027,Japon,Osaka,Boutique (walk-in),2024-11-30,Client fidèle,2,39520.98,False,False
CUST00028,Moyen-Orient,Dubaï Mall,Événement privé,2025-06-30,Découverte,1,759.13,False,False
CUST00029,France (siège),Paris Vendôme,Événement privé,2025-10-20,Client fidèle,2,37255.31,True,True
CUST00030,Moyen-Orient,Abu Dhabi,Événement privé,2024-12-02,VIC,5,88506.46,False,True
CUST00031,Moyen-Orient,Abu Dhabi,Événement privé,2025-03-28,Client fidèle,3,29036.01,False,True
CUST00032,USA,New York 5th Ave,Recommandation VIC,2026-02-11,Découverte,1,15840.87,False,True
CUST00033,Chine,Shanghai,Boutique (walk-in),2025-02-27,VIC,3,70219.67,False,True
CUST00034,France (siège),Paris Champs-Élysées,Boutique (walk-in),2025-09-17,Découverte,2,14029.92,False,True
CUST00035,Chine,Shanghai,Boutique (walk-in),2025-11-21,Découverte,1,1040.55,False,False
CUST00036,France (siège),Paris Vendôme,Recommandation VIC,2024-11-06,Client fidèle,4,40666.79,False,True
CUST00037,Japon,Tokyo Ginza,Boutique (walk-in),2026-04-19,Découverte,0,0.0,False,False
CUST00038,Moyen-Orient,Dubaï Mall,Recommandation VIC,2025-07-19,VIC,2,70152.72,True,True
CUST00039,France (siège),Paris Vendôme,Recommandation VIC,2025-12-22,Client fidèle,1,19000.14,False,True
CUST00040,Moyen-Orient,Dubaï Mall,Recommandation VIC,2025-05-06,Découverte,3,2791.69,True,True
CUST00041,France (siège),Paris Vendôme,Digital / en ligne,2024-12-07,Client fidèle,3,33391.83,True,True
CUST00042,France (siège),Paris Vendôme,Digital / en ligne,2025-11-20,Découverte,1,7414.77,False,True
CUST00043,France (siège),Paris Champs-Élysées,Boutique (walk-in),2026-03-19,Découverte,0,0.0,False,False
CUST00044,USA,New York 5th Ave,Boutique (walk-in),2025-05-28,Découverte,2,12741.7,False,True
CUST00045,Moyen-Orient,Dubaï Mall,Recommandation VIC,2024-12-08,Client fidèle,3,27698.87,True,True
CUST00046,France (siège),Paris Champs-Élysées,Événement privé,2025-02-16,Découverte,3,10395.5,True,True
CUST00047,USA,Bal Harbour,Recommandation VIC,2025-11-18,Découverte,1,13302.24,False,True
CUST00048,Chine,Shanghai,Digital / en ligne,2025-03-03,Client fidèle,2,25714.39,False,True
CUST00049,Moyen-Orient,Abu Dhabi,Recommandation VIC,2025-05-23,Client fidèle,3,37721.83,True,True
CUST00050,France (siège),Paris Champs-Élysées,Événement privé,2026-01-03,Découverte,1,13012.48,False,True
CUST00051,Chine,Shanghai,Événement privé,2025-02-21,Découverte,3,14682.37,True,True
CUST00052,Chine,Hong Kong,Boutique (walk-in),2025-05-08,VIC,3,175307.98,True,True
CUST00053,USA,Beverly Hills,Digital / en ligne,2024-12-30,Client fidèle,4,44256.62,True,False
CUST00054,Chine,Hong Kong,Recommandation VIC,2024-12-04,Découverte,1,15741.3,False,False
CUST00055,Moyen-Orient,Dubaï Mall,Recommandation VIC,2025-06-09,Découverte,2,17629.69,False,True
CUST00056,Japon,Tokyo Ginza,Événement privé,2025-01-02,Client fidèle,3,18027.82,True,True
CUST00057,Japon,Tokyo Ginza,Recommandation VIC,2025-10-06,Client fidèle,2,42095.84,False,True
CUST00058,Chine,Shanghai,Boutique (walk-in),2025-07-13,Client fidèle,2,51421.99,True,True
CUST00059,USA,New York 5th Ave,Recommandation VIC,2024-10-05,Client fidèle,4,53778.21,True,True
CUST00060,Japon,Osaka,Recommandation VIC,2026-03-13,Découverte,0,0.0,False,False
CUST00061,USA,New York 5th Ave,Digital / en ligne,2025-05-07,Client fidèle,2,19176.79,False,True
CUST00062,Moyen-Orient,Dubaï Mall,Recommandation VIC,2025-10-30,Client fidèle,1,20965.42,False,True
CUST00063,Chine,Pékin,Boutique (walk-in),2026-03-21,Découverte,0,0.0,False,False
CUST00064,Chine,Hong Kong,Recommandation VIC,2025-06-17,Client fidèle,2,30711.01,False,True
CUST00065,France (siège),Paris Champs-Élysées,Boutique (walk-in),2024-12-02,Client fidèle,3,28422.88,True,True
CUST00066,France (siège),Cannes,Recommandation VIC,2025-07-16,VIC,2,77459.45,True,True
CUST00067,Moyen-Orient,Dubaï Mall,Recommandation VIC,2025-02-28,Découverte,3,2366.23,True,True
CUST00068,USA,Bal Harbour,Boutique (walk-in),2025-06-15,Découverte,1,561.52,False,False
CUST00069,Chine,Pékin,Boutique (walk-in),2025-03-23,Client fidèle,3,31696.57,True,True
CUST00070,USA,Beverly Hills,Recommandation VIC,2025-08-07,Client fidèle,2,28078.1,True,True
CUST00071,France (siège),Paris Champs-Élysées,Recommandation VIC,2026-03-24,Découverte,0,0.0,False,False
CUST00072,USA,Bal Harbour,Boutique (walk-in),2026-03-02,Découverte,1,10181.31,False,True
CUST00073,France (siège),Cannes,Recommandation VIC,2025-04-07,Client fidèle,3,23262.21,True,True
CUST00074,USA,New York 5th Ave,Événement privé,2025-12-22,Découverte,1,6706.71,False,True
CUST00075,Chine,Shanghai,Boutique (walk-in),2025-04-24,Découverte,2,1814.09,False,True
CUST00076,USA,New York 5th Ave,Recommandation VIC,2025-10-09,Client fidèle,1,21211.63,False,True
CUST00077,Moyen-Orient,Dubaï Mall,Recommandation VIC,2026-04-14,Découverte,0,0.0,False,False
CUST00078,Moyen-Orient,Dubaï Mall,Digital / en ligne,2025-02-18,Découverte,2,1445.65,False,False
CUST00079,France (siège),Paris Champs-Élysées,Boutique (walk-in),2025-11-24,Découverte,1,13138.45,False,True
CUST00080,Japon,Osaka,Recommandation VIC,2024-11-13,Client fidèle,4,28264.07,True,True
CUST00081,USA,New York 5th Ave,Boutique (walk-in),2025-11-28,Découverte,1,11725.56,False,True
CUST00082,Japon,Tokyo Ginza,Recommandation VIC,2025-02-21,VIC,4,78610.19,True,True
CUST00083,France (siège),Paris Vendôme,Boutique (walk-in),2024-10-28,Client fidèle,4,39002.73,True,True
CUST00084,Moyen-Orient,Dubaï Mall,Événement privé,2026-04-15,Découverte,0,0.0,False,False
CUST00085,Japon,Osaka,Recommandation VIC,2025-09-18,Very VIP,2,950403.82,False,True
CUST00086,USA,Bal Harbour,Boutique (walk-in),2025-05-24,Client fidèle,2,31741.42,False,True
CUST00087,Chine,Pékin,Recommandation VIC,2024-09-12,Découverte,1,16501.23,False,False
CUST00088,USA,New York 5th Ave,Recommandation VIC,2024-10-20,VIC,3,94345.67,True,True
CUST00089,Japon,Osaka,Événement privé,2025-03-07,VIC,3,155455.63,True,True
CUST00090,Chine,Hong Kong,Recommandation VIC,2025-12-25,VIC,1,104262.7,False,True
CUST00091,USA,Beverly Hills,Recommandation VIC,2024-09-20,Client fidèle,3,22205.63,True,True
CUST00092,USA,Beverly Hills,Événement privé,2024-12-24,VIC,2,126989.68,False,False
CUST00093,USA,Bal Harbour,Boutique (walk-in),2025-05-07,Découverte,1,12156.13,False,False
CUST00094,USA,Beverly Hills,Digital / en ligne,2025-03-29,VIC,2,86472.43,True,True
CUST00095,Japon,Osaka,Boutique (walk-in),2025-07-17,Client fidèle,2,40903.2,False,True
CUST00096,Moyen-Orient,Dubaï Mall,Recommandation VIC,2025-06-30,Découverte,2,1751.99,True,True
CUST00097,Japon,Osaka,Boutique (walk-in),2026-01-28,Découverte,1,815.44,False,True
CUST00098,USA,Beverly Hills,Recommandation VIC,2024-09-30,VIC,5,65494.92,True,True
CUST00099,Japon,Osaka,Boutique (walk-in),2026-03-08,Découverte,0,0.0,False,False
CUST00100,France (siège),Paris Champs-Élysées,Boutique (walk-in),2026-02-22,Découverte,0,0.0,False,False
CUST00101,Chine,Pékin,Événement privé,2024-10-27,Découverte,1,13905.93,False,False
CUST00102,Chine,Shanghai,Recommandation VIC,2025-01-25,Client fidèle,3,33489.89,True,True
CUST00103,Chine,Pékin,Boutique (walk-in),2025-05-11,Découverte,2,17842.35,False,True
CUST00104,Chine,Shanghai,Recommandation VIC,2025-06-10,Client fidèle,2,28830.42,True,True
CUST00105,France (siège),Paris Vendôme,Événement privé,2025-02-05,Client fidèle,2,31168.36,True,True
CUST00106,Moyen-Orient,Abu Dhabi,Boutique (walk-in),2026-01-15,Découverte,1,13753.2,False,True
CUST00107,Moyen-Orient,Dubaï Mall,Digital / en ligne,2026-03-06,Découverte,0,0.0,False,False
CUST00108,USA,Bal Harbour,Boutique (walk-in),2025-12-04,Découverte,1,12971.01,False,True
CUST00109,Chine,Shanghai,Boutique (walk-in),2026-04-16,Découverte,0,0.0,False,False
CUST00110,France (siège),Paris Vendôme,Événement privé,2025-08-24,Découverte,1,492.64,False,True
CUST00111,USA,Beverly Hills,Événement privé,2025-07-21,VIC,1,108627.63,False,True
CUST00112,Moyen-Orient,Abu Dhabi,Boutique (walk-in),2025-11-10,Découverte,1,599.46,False,True
CUST00113,Chine,Pékin,Événement privé,2025-06-27,Client fidèle,2,37828.02,True,True
CUST00114,France (siège),Cannes,Recommandation VIC,2024-12-19,Découverte,3,8961.86,True,True
CUST00115,Moyen-Orient,Dubaï Mall,Boutique (walk-in),2025-04-30,VIC,2,126216.43,False,True
CUST00116,France (siège),Cannes,Digital / en ligne,2025-01-18,VIC,3,84365.34,True,True
CUST00117,Moyen-Orient,Dubaï Mall,Boutique (walk-in),2025-09-05,VIC,2,95561.65,False,True
CUST00118,Moyen-Orient,Dubaï Mall,Boutique (walk-in),2025-10-01,Découverte,1,723.3,False,True
CUST00119,France (siège),Paris Champs-Élysées,Boutique (walk-in),2025-05-26,Client fidèle,2,19697.95,True,True
CUST00120,Chine,Shanghai,Événement privé,2025-03-30,Client fidèle,2,18369.92,True,True
CUST00121,France (siège),Paris Champs-Élysées,Événement privé,2025-06-25,Découverte,2,2383.82,True,True
CUST00122,Moyen-Orient,Dubaï Mall,Recommandation VIC,2025-04-25,Découverte,2,10565.69,False,True
CUST00123,Chine,Shanghai,Digital / en ligne,2025-03-24,Client fidèle,3,61905.75,True,True
CUST00124,France (siège),Cannes,Recommandation VIC,2025-12-25,VIC,1,67328.01,False,True
CUST00125,France (siège),Paris Vendôme,Digital / en ligne,2025-11-19,Découverte,1,17250.88,False,True
