transaction_id,customer_id,market,boutique,channel,category,transaction_date,amount_local,currency,amount_eur,piece_exceptionnelle
TXN000001,CUST00001,Chine,Pékin,Boutique,Mariage,2025-09-20,134004.75,CNY,17420.62,False
TXN000002,CUST00001,Chine,Pékin,En ligne,Horlogerie,2026-02-02,340037.4,CNY,44204.86,False
TXN000003,CUST00004,France (siège),Paris Champs-Élysées,Boutique,Joaillerie,2026-03-14,15992.91,EUR,15992.91,False
TXN000004,CUST00005,Japon,Osaka,Boutique,Joaillerie,2025-07-15,2013494.92,JPY,12483.67,False
TXN000005,CUST00005,Japon,Osaka,En ligne,Joaillerie,2026-01-14,1640373.6,JPY,10170.32,False
TXN000006,CUST00005,Japon,Osaka,Boutique,Accessoires & Parfums,2026-07-02,99776.26,JPY,618.61,False
TXN000007,CUST00006,Japon,Osaka,Boutique,Joaillerie,2025-05-05,1495173.19,JPY,9270.07,False
TXN000008,CUST00006,Japon,Osaka,En ligne,Accessoires & Parfums,2025-10-02,98713.99,JPY,612.03,False
TXN000009,CUST00006,Japon,Osaka,Boutique,Horlogerie,2026-03-26,3799966.22,JPY,23559.79,False
TXN000010,CUST00007,Chine,Hong Kong,Boutique,Horlogerie,2025-05-06,150730.2,CNY,19594.93,False
TXN000011,CUST00007,Chine,Hong Kong,Boutique,Accessoires & Parfums,2025-09-30,3851.77,CNY,500.73,False
TXN000012,CUST00007,Chine,Hong Kong,Boutique,Mariage,2026-05-21,78314.79,CNY,10180.92,False
TXN000013,CUST00008,France (siège),Paris Champs-Élysées,En ligne,Joaillerie,2026-06-08,13709.04,EUR,13709.04,False
TXN000014,CUST00009,Chine,Pékin,Boutique,Accessoires & Parfums,2025-06-13,6788.17,CNY,882.46,False
TXN000015,CUST00010,Japon,Tokyo Ginza,Boutique,Joaillerie,2025-08-29,3267309.16,JPY,20257.32,False
TXN000016,CUST00010,Japon,Tokyo Ginza,En ligne,Accessoires & Parfums,2026-03-14,117608.96,JPY,729.18,False
TXN000017,CUST00011,Chine,Hong Kong,Boutique,Joaillerie,2025-05-20,117799.78,CNY,15313.97,False
TXN000018,CUST00011,Chine,Hong Kong,Événement privé,Joaillerie,2025-11-26,82179.23,CNY,10683.3,False
TXN000019,CUST00011,Chine,Hong Kong,Boutique,Joaillerie,2026-05-20,109972.12,CNY,14296.38,False
TXN000020,CUST00012,Chine,Pékin,Boutique,Accessoires & Parfums,2026-01-01,14023.54,CNY,1823.06,False
TXN000021,CUST00012,Chine,Pékin,Boutique,Joaillerie,2026-05-29,77961.27,CNY,10134.97,False
TXN000022,CUST00013,France (siège),Paris Vendôme,Boutique,Haute Joaillerie,2025-08-23,103461.83,EUR,103461.83,False
TXN000023,CUST00014,Japon,Osaka,Boutique,Joaillerie,2026-03-25,3632011.15,JPY,22518.47,False
TXN000024,CUST00015,Chine,Pékin,Boutique,Horlogerie,2025-09-29,238645.95,CNY,31023.97,False
TXN000025,CUST00015,Chine,Pékin,Boutique,Mariage,2026-03-01,101752.36,CNY,13227.81,False
TXN000026,CUST00015,Chine,Pékin,En ligne,Joaillerie,2026-07-22,172932.77,CNY,22481.26,False
TXN000027,CUST00016,Japon,Osaka,En ligne,Accessoires & Parfums,2026-07-09,148466.71,JPY,920.49,False
TXN000028,CUST00017,France (siège),Paris Vendôme,Boutique,Horlogerie,2025-04-13,31009.05,EUR,31009.05,False
TXN000029,CUST00017,France (siège),Paris Vendôme,Événement privé,Mariage,2025-08-20,7339.05,EUR,7339.05,False
TXN000030,CUST00017,France (siège),Paris Vendôme,En ligne,Joaillerie,2025-11-19,16844.37,EUR,16844.37,False
TXN000031,CUST00017,France (siège),Paris Vendôme,Événement privé,Joaillerie,2026-04-12,15120.8,EUR,15120.8,False
TXN000032,CUST00018,USA,New York 5th Ave,En ligne,Accessoires & Parfums,2025-05-07,884.65,USD,813.88,False
TXN000033,CUST00018,USA,New York 5th Ave,Boutique,Mariage,2025-11-27,6389.3,USD,5878.16,False
